open,close,high,low
176.948,177.068,177.123,176.887
177.06,177.223,177.258,176.858
177.22,177.265,177.291,177.047
177.268,177.219,177.37,177.043
177.204,177.154,177.513,177.134
177.152,177.189,177.27,177.088
177.19,177.151,177.275,177.027
177.152,177.241,177.432,177.083
177.246,177.199,177.364,177.133
177.198,177.191,177.332,177.154
177.189,177.245,177.299,177.012
177.245,177.178,177.341,177.157
177.178,176.801,177.296,176.793
176.802,176.582,176.812,176.502
176.584,176.705,176.765,176.539
176.705,176.992,177.01,176.622
176.992,176.623,177.008,176.597
176.629,176.648,176.665,176.525
176.646,176.908,176.913,176.594
176.908,176.817,176.95,176.721
176.816,176.902,177.141,176.811
176.901,176.881,177.064,176.841
176.881,176.932,177.082,176.881
176.935,177.015,177.072,176.924
177.013,176.983,177.178,176.953
176.978,177.016,177.023,176.884
177.016,176.918,177.02,176.879
176.92,176.883,177.035,176.849
176.882,177.029,177.035,176.872
177.028,176.96,177.077,176.955
176.959,176.992,177.039,176.959
177,177.001,177.055,176.993
177.002,177.046,177.075,176.95
177.048,177.05,177.082,176.989
177.049,177.069,177.14,177.012
177.069,177.05,177.076,176.974
177.047,177.19,177.243,177.037
177.192,177.233,177.311,177.171
177.224,177.144,177.245,177.117
177.143,177.139,177.15,177.043
177.135,177.166,177.235,177.125
177.167,177.046,177.175,177.01
177.05,176.995,177.107,176.914
176.995,176.859,177.001,176.858
176.859,176.931,177.008,176.85
176.929,176.817,176.984,176.782
176.817,176.934,176.978,176.777
176.93,176.852,176.992,176.841
176.853,176.807,176.884,176.712
176.812,176.945,176.978,176.725
176.947,176.986,177.153,176.898
176.988,176.72,177.032,176.719
176.717,177.425,177.444,176.682
177.425,177.614,177.653,177.357
177.615,177.614,177.642,177.508
177.613,177.843,177.914,177.588
177.842,177.713,177.851,177.627
177.715,177.625,177.715,177.55
177.623,177.459,177.684,177.424
177.465,177.528,177.568,177.25
177.526,177.342,177.539,177.265
177.342,177.494,177.544,177.157
177.498,177.539,177.613,177.334
177.54,177.553,177.636,177.478
177.545,177.258,177.61,177.194
