EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY,XAUUSD
116424,130031,94914,111710,125800,79228,74387,164314,99532,75305,88390,106403,147322,146384,110601,89628,130415,156644,117481,123618,70480,75494,88853,164623,93152,145108,174876,83081,1244383
116490,130018,94955,111749,125855,79156,74412,164434,99590,75324,88285,106378,147442,146454,110503,89551,130246,156526,117509,123510,70461,75544,88863,164574,93194,145155,174747,83071,1244393
116554,130058,94936,111699,125827,79232,74346,164493,99661,75281,88251,106436,147692,146427,110514,89541,130182,156646,117447,123611,70459,75439,88828,164602,93223,145233,174739,83032,1243673
116441,130065,94861,111685,125816,79188,74318,164485,99633,75253,88291,106471,147555,146369,110503,89533,130055,156670,117438,123493,70452,75426,88848,164624,93243,145196,174735,83067,1243483
116467,130144,94861,111690,125816,79144,74318,164450,99581,75206,88283,106454,147418,146435,110496,89463,130113,156635,117426,123563,70467,75379,88817,164633,93147,145274,174763,82998,1243503
116463,130124,94711,111587,125720,79150,74374,164378,99587,75273,88293,106460,147290,146410,110472,89517,130074,156452,117349,123501,70406,75331,88783,164596,93129,145286,174885,83062,1243483
116439,130101,94829,111570,125719,79194,74349,164329,99610,75186,88346,106441,147335,146581,110415,89491,130060,156500,117329,123405,70394,75347,88803,164652,93136,145269,174901,83092,1242613
116495,130008,94733,111477,125749,79183,74353,164417,99633,75259,88284,106462,147203,146600,110403,89555,130181,156493,117357,123365,70308,75347,88779,164615,93108,145224,174815,83093,1242613
116438,130084,94730,111509,125733,79193,74404,164260,99744,75191,88373,106472,147290,146682,110277,89502,130192,156442,117447,123308,70344,75313,88814,164612,93066,145187,174634,83091,1243203
116440,130059,94744,111467,125707,79225,74380,164195,99718,75114,88441,106435,147281,146645,110364,89540,130053,156422,117463,123370,70364,75585,88838,164623,93110,145204,174703,83012,1243323
116438,130025,94723,111494,125703,79237,74375,164079,99680,75133,88487,106492,147182,146635,110332,89534,130088,156366,117496,123389,70365,75517,88833,164623,93144,145139,174764,83013,1244223
116466,129960,94746,111544,125743,79256,74370,164059,99684,75161,88529,106520,146949,146615,110324,89569,129960,156472,117366,123255,70364,75522,88813,164599,93285,145116,174590,82993,1243323
116422,129921,94738,111505,125888,79234,74392,164093,99721,75183,88432,106498,146918,146625,110421,89602,129918,156409,117431,123258,70379,75417,88743,164622,93220,145114,174645,83007,1243423
116414,129935,94814,111554,125907,79204,74331,164239,99765,75177,88393,106435,146929,146112,110458,89551,129871,156589,117457,123044,70364,75470,88745,164634,93200,145089,174634,82922,1243673
116422,129977,94759,111410,125948,79176,74350,164201,99429,75145,88328,106477,146948,146166,110422,89518,129845,156585,117353,123024,70346,75353,88674,164623,93220,145083,174402,82973,1242823
116365,129940,94683,111521,125964,79154,74393,164185,99478,75158,88346,106419,147004,146140,110437,89569,129796,156576,117416,122890,70417,75378,88673,164650,93224,145093,174322,82936,1240413
116363,129944,94649,111524,125961,79178,74341,164222,99486,75058,88230,106395,146945,146172,110458,89559,129827,156468,117510,122943,70432,75404,88536,164650,93265,145044,174558,82874,1241323
116396,129919,94643,111335,125937,79146,74391,164157,99492,75129,88338,106424,147082,146193,110388,89610,129914,156441,117407,122991,70435,75401,88544,164737,93183,145019,174560,82911,1242113
116383,129741,94561,111392,126017,79197,74342,164221,99517,75027,88326,106423,146939,146377,110349,89699,129821,156433,117381,123035,70445,75608,88561,164799,93152,145063,174553,82866,1241533
116430,129730,94594,111309,125570,79135,74371,164261,99535,74996,88247,106409,147058,146316,110362,89772,129867,156371,117423,123055,70381,75608,88513,164728,93070,145040,174666,82921,1241403
116382,129792,94561,111349,125581,79135,74354,164170,99460,74985,88292,106367,147080,146391,110357,89721,129711,156404,117349,122938,70410,75599,88553,164691,93070,145058,174395,82928,1242473
116464,129821,94501,111210,125572,79106,74332,164027,99414,74995,88229,106350,147061,146451,110318,89767,129776,156476,117363,122883,70381,75564,88455,164703,93115,145043,174293,82845,1244563
116460,129897,94557,111249,125550,79058,74359,164061,99430,74983,88305,106321,146985,146000,110351,89764,129777,156424,117270,122842,70395,75457,88478,164698,93151,145009,174263,82860,1244143
116543,129885,94546,111194,125618,79056,74382,164111,99141,75023,88318,106279,146932,146018,110377,89721,129595,156494,117317,122769,70382,75424,88806,164867,93157,145051,174338,82793,1243183
116612,129774,94502,111184,125686,79083,74359,163997,99196,75025,88201,106278,146918,146068,110353,89815,129646,156611,117302,122737,70408,75371,88646,164756,93176,145030,174410,82816,1242403
