EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,EURUSD,GBPNZD,XAUUSD
108782,122182,99421,103966,99274,76023,71510,160655,101433,75570,79036,106264,143066,145155,108151,89020,113093,152040,104562,121466,70176,74479,77900,162059,93130,127018,108782,171683,1326023
108797,122172,99421,103915,99376,76017,71542,160552,101476,75571,78990,106212,143098,145251,108170,89041,113060,152003,104502,121457,70184,74442,77819,162091,93232,126946,108797,171845,1325773
108746,122086,99426,103902,99305,76098,71592,160409,101563,75657,79062,106250,142879,145150,108124,89060,112986,151824,104482,121381,70222,74463,77826,162046,93405,126841,108746,171339,1327203
108594,121876,99537,103940,99239,75948,71467,160535,101437,75591,78939,106223,142962,145053,108097,89093,112875,151872,104407,121306,70287,74495,77804,162085,93500,126671,108594,171507,1325693
108624,121971,99468,103921,99203,76000,71512,160330,101490,75590,78977,106232,142904,145074,108053,89048,112888,151821,104460,121319,70202,74456,77802,162064,93414,126751,108624,171785,1326003
108675,122000,99442,103899,99269,76082,71575,160376,101569,75654,79044,106254,142817,145098,108073,89069,112916,151766,104464,121316,70304,74459,77809,162046,93524,126752,108675,171766,1329823
108662,122008,99461,103901,99331,76137,71572,160393,101648,75720,79105,106333,142694,145078,108076,89051,112902,151745,104447,121343,70271,74470,77807,162117,93456,126764,108662,171602,1333903
108769,122057,99413,103864,99234,76238,71658,160234,101747,75783,79181,106350,142648,145177,108131,89103,112976,151713,104461,121334,70334,74460,77807,162052,93586,126764,108769,171358,1334743
108836,122240,99366,103792,99191,76304,71703,160163,101708,75817,79196,106371,142615,145091,108156,89024,112970,151712,104433,121456,70361,74517,77845,162078,93702,126851,108836,171275,1332663
108848,122415,99440,103921,99314,76350,71711,160153,101764,75916,79341,106428,142538,145092,108241,88906,113120,151700,104491,121721,70386,74573,77950,162189,93751,127210,108848,171330,1333223
108910,122374,99381,103891,99304,76345,71675,160273,101824,75866,79315,106473,142633,145272,108238,88991,113151,151877,104523,121610,70416,74482,77875,162058,93727,127131,108910,171027,1334133
108873,122417,99399,103918,99279,76327,71635,160153,101781,75861,79318,106512,142620,145196,108221,88929,113142,151915,104532,121674,70406,74510,77911,161876,93587,127208,108873,171227,1332933
108933,122389,99338,103894,99072,76320,71618,159909,101763,75807,79289,106526,142710,145264,108211,88999,113178,152034,104575,121570,70388,74472,77901,161596,93539,127147,108933,171264,1332883
108894,122332,99322,104004,99103,76250,71582,159900,101767,75728,79301,106478,142792,145348,108156,89007,113258,152049,104701,121495,70498,74390,77908,161492,93690,127228,108894,171020,1332753
