EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY,XAUUSD
126837,161126,95141,107842,112467,87936,78730,182277,99089,83596,94912,111673,144217,142630,121137,78696,136780,161082,113295,153212,74880,84498,95741,180002,89541,174052,202668,84888,1316521
126678,161330,95244,107829,112281,87921,78730,182759,99129,83544,94997,111652,144309,142685,121165,78701,136614,161053,113386,153198,74816,84315,95807,180237,89608,173814,202735,84953,1318270
126741,161318,95163,107784,112470,88052,78818,182670,99148,83443,94863,111692,144460,142960,121173,78760,136748,161039,113413,153075,74910,84397,95789,180355,89640,173868,202739,84929,1318531
126828,161280,95233,107708,112341,87981,78848,182604,99165,83524,94910,111559,144296,142810,121084,78783,136783,161193,113387,152999,74907,84383,95811,180158,89425,173758,202853,85024,1318765
126815,161223,95207,107651,112428,88088,78980,182550,99120,83530,94834,111511,144276,142828,121083,78810,136748,161169,113584,152929,75077,84406,95867,180812,89436,173935,202940,85015,1318379
127078,161276,95114,107719,112366,88040,78924,182724,99083,83540,94806,111538,144277,142802,121029,78788,136976,160912,113553,152968,75101,84423,95828,180943,89598,173859,202794,85020,1316526
127110,161260,95172,107678,112377,88074,78959,182800,99092,83531,94906,111507,144293,142777,120997,78791,136909,160933,113517,152975,74992,84394,95829,179874,89536,173802,202969,85054,1317181
127118,161186,95076,107771,112456,88040,78923,182924,99194,83565,94764,111522,144179,142802,120990,78778,136852,160902,113520,153007,74954,84398,95805,180229,89444,173765,202629,85091,1318395
127038,161158,94994,107803,112503,88015,78924,182788,99136,83561,94827,111471,144251,142842,121066,78752,136849,160940,113507,153029,74941,84390,95833,180141,89564,173915,202426,85070,1315040
127085,161118,94935,107847,112520,88006,78877,182701,99168,83527,94837,111531,144319,142851,121082,78767,136848,160815,113571,153036,74988,84362,95960,180132,89538,173723,202558,85028,1309283
127051,161232,94960,107840,112490,87960,78845,182555,99133,83566,94835,111531,144238,142885,121124,78784,136928,160897,113530,153007,74874,84374,95902,180311,89767,173600,202445,85090,1310403
126972,161138,94959,107838,112466,88050,78907,182686,99196,83616,94885,111562,144193,142896,121060,78770,136902,160974,113550,153024,75054,84370,95811,180406,89800,173636,202843,85182,1311543
126968,161267,94962,107964,112435,88104,78900,182523,99402,83643,94890,111646,144137,142901,121098,78839,136931,160928,113539,152924,75065,84341,95858,180243,89797,173650,202726,85147,1310061
126947,161259,95027,107866,112478,88167,78940,182703,99157,83632,94913,111661,144163,142947,121096,78800,136914,160997,113605,152994,75137,84388,95902,180299,89901,173785,202745,85095,1311652
127011,161266,95059,107804,112423,88148,78932,182593,98858,83695,94857,111658,144061,142876,121101,78803,136983,160961,113748,152994,75217,84425,95896,180290,89908,173735,202824,85148,1309206
127045,161283,95002,107802,112418,88208,78984,182648,98877,83691,94953,111653,144080,142828,121080,78797,137176,160973,113682,153012,75228,84452,95943,180505,89969,173888,202785,85191,1310490
127090,161204,95046,107851,112436,88170,78990,182826,99089,83688,95121,111595,144106,142805,121077,78762,137101,160865,113607,153092,75225,84492,95956,180583,89955,173755,202559,85148,1311310
127083,161181,95175,107852,112353,88124,78951,183035,99140,83725,95104,111592,144030,142726,121127,78775,137017,160802,113601,153091,75275,84429,96067,180516,89869,173620,202871,85217,1309305
127081,161205,95141,107823,112352,88195,79035,182985,99085,83747,95029,111581,144005,142849,121142,78814,137011,160817,113610,153016,75276,84569,96190,180612,89916,173667,202788,85212,1310941
127041,161021,95076,107833,112341,88288,79023,182702,98959,83840,95092,111714,143867,142624,121130,78865,137031,160712,113549,152919,75190,84599,96308,180611,90013,173661,202815,85200,1309567
126997,161066,95082,107950,112313,88246,78929,182997,98854,83895,95094,111797,143797,142605,121107,78846,136980,160883,113574,152983,75003,84672,96334,180642,89910,173791,202735,85289,1308667
127032,161218,94881,108061,112183,88292,78931,182919,98843,83938,95042,111862,143696,142452,121108,78827,136970,160842,113672,153046,75141,84627,96135,180643,89916,173773,202564,85356,1307700
127140,161133,94841,108067,112244,88362,78984,183216,98866,83949,95096,111863,143700,142548,121077,78760,137098,160852,113615,153144,75086,84357,96351,180626,89853,173802,202140,85385,1306076
126956,161669,94821,108156,112141,88374,78950,183204,98955,83855,95203,111929,143802,142944,121059,78814,137053,160749,113725,153062,75014,84493,96610,180272,89906,173753,202045,85503,1306863
126966,161721,94876,107836,111985,88635,79292,183180,98953,83805,95261,111780,143853,142683,121067,78837,137200,160853,113758,152947,75093,84681,96609,180095,90005,173873,202261,85554,1307342
