EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY
111849,129335,100885,114278,136685,73572,68514,176179,100575,74202,84089,107340,147654,148538,109601,84022,124199,158562,113253,130437,69022,73764,83584,177485,93548,147826,187331,78289
111844,129368,100884,114280,136668,73571,68338,176147,100558,74206,84077,107539,147711,148555,109612,84015,124191,158597,113257,130482,69064,73767,83596,177506,93590,147834,187286,78271
111853,129366,100886,114277,136694,73514,68336,176174,100548,74214,84073,107560,147655,148545,109632,84014,124188,158545,113267,130500,69079,73744,83570,177531,93639,147806,187391,78304
111839,129352,100886,114279,136694,73531,68318,176177,100494,74185,84004,107574,147681,148564,109627,83994,124194,158950,113262,130488,69078,73733,83575,177509,93627,147796,187312,78093
111849,129338,100888,114291,136687,73523,68243,176197,100516,74210,84030,107627,147699,148562,109630,83999,124199,158959,113263,130475,69108,73739,83558,177469,93650,147797,187334,78102
111835,129321,100896,114284,136726,73476,68268,176142,100545,74206,84030,107630,147797,148641,109643,84003,124190,159000,113237,130462,68928,73773,83537,177469,93426,147779,187290,78089
111856,129314,100895,114287,136717,73505,68307,176086,100496,74212,83970,107620,147766,148666,109643,84013,124194,159176,113245,130452,68929,73779,83553,177466,93422,147780,187275,77999
111853,129312,100896,114272,136772,73542,68331,176090,100521,74160,84003,107584,147790,148619,109635,84029,124214,159106,113271,130450,68916,73781,83569,177456,93441,147740,187268,78026
111855,129294,100893,114278,136798,73542,68329,176139,100537,74176,84036,107622,147885,148567,109642,84032,124205,159012,113295,130447,68837,73768,83582,177467,93353,147761,187248,78060
111871,129303,100900,114308,136771,73567,68314,176154,100528,74171,84044,107644,147808,148550,109635,84022,124195,158949,113273,130454,68862,73749,83602,177446,93371,147786,187262,78093
